titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,source,date_publication,caracteristiques
دار نظيفة للبيع افصكوك بينها امع كدروه الشباب نيمروين ,Appartement/Maison,Vente,3400000,216.0,4.0,1.0,,Teyarett,Nouakchott,"دار نظيفة للبيع افصكوك بينها امع كدروه الشباب نيمروين.
فيها 4 ابيوت ؤجلسة ؤمرافق ؤتهوية 

مساحتها 216م² ( 18 ف 12 )
شارعها 8م 
أوراقها : ابرمه ابيومتريك ؤكتانص 

ب 34 مليون قديمة 

41545765",voursa.com,2026-01-07,Titre foncier | type de propriété: Villa | 1 balcon(s) | Taille rue: 8.00 | Proche de: كدروه الشباب  | Caméra de sécurité
Appartement Meublé 24 heures CITE PLAGE | شقة مفروشة للإيجار، 24 ساعة,Appartement/Maison,Location,2500,300.0,3.0,1.0,,Tevragh Zeina,Nouakchott,Appartement Meublé 48 heures CITE PLAGE | شقة مفروشة للإيجار، 48 ساعة,voursa.com,2026-01-14,type de location: Location à la journée | type de propriété: Appartement | 1 balcon(s) | Taille rue: N/A | Proche de: cite plage  | Caméra de sécurité | Meublé | meublé | plage
نيمرو من سكتير 2 بلوكات,Terrain,Vente,4100000,600.0,,,,Tevragh Zeina,Nouakchott,*93 من بلوكات سكتير 2 مبيوع اليوم فرصة ب 41 مليون*,voursa.com,2025-09-02,Taille rue: N/A | Proche de: بلوكات 
150م² من بلوكات سكتير 1,Terrain,Vente,1150000,150.0,,,,Tevragh Zeina,Nouakchott,"*150 م² من بلوكات سكتير 1 ب 11,500*",voursa.com,2025-09-27,Taille rue: N/A | Proche de: طب القلب 
دوبلكس فشرم شيخ راقي وعصري فرصة ,Terrain,Vente,600000,150.0,,,,Tevragh Zeina,Nouakchott,"دوبلكس فشرم شيخ راقي وعصري بسعر جيد 
للمزيد من التفاصيل 
•الواتساب:44866293
•للتواصل:44866293",voursa.com,2025-05-04,Taille rue: N/A | Proche de: شرم شيخ 
نيمرو من H3 شارعو 15 فرصة ,Terrain,Vente,1700000,216.0,,,,Tevragh Zeina,Nouakchott,"994 من H3 شارعو 15 او عندو البرمة التالية
مبيوع الليلة ب17مليون",voursa.com,2025-10-23,Taille rue: N/A | Proche de: H3
نمرو للبيـــــــــع في اسكان 1,Terrain,Vente,2600000,300.0,,,,Tevragh Zeina,Nouakchott,"نمرو للبيـــــع في تراب الاسكان تفرغ زينة 
المساحة : 300 م² فاتح اعل بارك
السعر 26 مليون اوقية قديمة 
واتساب 22608090 فقط للجدين ",voursa.com,2025-07-31,Taille rue: N/A | Proche de: كدروه اوكار 
300م# فسكتير 5 للبيع ,Terrain,Vente,3900000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 300م# من سكتير 5 ابلاصتها زينه زون صانترال مبيوع ب 39مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-06-20,Taille rue: N/A | Proche de: سكتير 5
دار فدار النعيم ماه بعيد من مجمع الصفا,Appartement/Maison,Vente,800000,180.0,4.0,2.0,,Dar Naim,Nouakchott,"بنايها زين ومؤجره حاليا بخمسين وبلدها سالك من الملح 
ملاحظة للراغبين في بيع او إيجار او شراء دار أو نيمرو ماعليكم سوى التواصل معنا والله المستعان",voursa.com,2025-11-15,1 balcon(s) | Taille rue: N/A | Proche de: مجمع الصفا
فرصة دار للبيـــــــــــــــــــــع اف الصكوك احذ كرفور كورونا ,Appartement/Maison,Vente,4200000,216.0,3.0,2.0,,Teyarett,Nouakchott,فرصة دار للبيع ف الصكوك احذ كرفور كورونا فيه أربعة بيوت وهول وكراج وبيت الفوك المساحة 216فاتح اعل شارع 10 السعر 42مليون حد مهتم يتواصل معاي 27273277,voursa.com,2025-11-05,1 balcon(s) | Taille rue: 10.00 | Proche de: دار للبيـــــــــــــــــــــع اف الصكوك احذ كرفور كورونا 
نيمرو أفكرن من سكتير 4 F Nord ,Terrain,Vente,7500000,600.0,,,,Tevragh Zeina,Nouakchott,رقم 1132 من سكتير 4 فلكرن مبيوع با 75 مليون وينباع نصوص,voursa.com,2025-12-15,Titre foncier | Taille rue: 15.00 | Proche de: السنوار 
دار فعرفات فاتح اعل برك,Appartement/Maison,Vente,1400000,180.0,4.0,1.0,,Arafat,Nouakchott,للبيــــــــــــــــــــــع دار افعرفات الدايه 19 فاتح اعل برك فيه ثلث ابيوت وجلسه منقوش مكروي مبيوعه ب 14مليون وخمسمائة قابل للنقاش حد شاري تلفنل 26678975.36147216,voursa.com,2025-09-27,Titre foncier | 1 balcon(s) | Taille rue: 15.00 | Proche de: الدايه 19
دار أكبيره للإيجار في الصكوك أجديده مافات أندخلت,Appartement/Maison,Location,20000,400.0,6.0,2.0,,Teyarett,Nouakchott,"دار أكبيره للإيجار في الصكوك أجديده مافات أندخلت ألا ب 200 أفانص شهرين 
فيه صالوهين وبيتين أركاد وهولين وبيت أجماعه وبيت التركه وفراند وكوزين ودوش 
:للإتصال أو الواتساب
36417043

ملاحظة الصورة فقط للفت الإنتباه",voursa.com,2025-12-25,type de location: Location au mois | type de propriété: Villa | 1 balcon(s) | Taille rue: N/A | Proche de: كدروه السنوار 
400م٢ من سكتير 5 أكريب من كدروه الشارة فرصة ,Terrain,Vente,4000000,400.0,,,,Tevragh Zeina,Nouakchott,400م٢ من سكتير 5 أكريب من كدروه الشارة ب 40 مليون فرصة ,voursa.com,2025-07-22,Taille rue: N/A | Proche de: المرابع
نيمرو أفكرن من بوش 9 فرصة ,Terrain,Vente,4200000,600.0,,,,Tevragh Zeina,Nouakchott,706 من بوش 9 أفكرن عندو برمة المالية مبيوع ب 42 فرصة,voursa.com,2025-06-16,Taille rue: N/A | Proche de: بوش 9
ديبلكس جديد بريمير شوى إحذ مسكن السفير السعودي ,Appartement/Maison,Vente,9500000,300.0,6.0,5.0,,Tevragh Zeina,Nouakchott,ديبلكس جديد بريمير شوى إحذ مسكن السفير السعودي سانتر متير مساحة 300م٢ مبيوع ب 95,voursa.com,2025-06-19,Titre foncier | 1 balcon(s) | Taille rue: 20.00 | Proche de: مسكن السفير السعودي  | Garage
نيمرو من بوش 9,Terrain,Vente,3150000,534.0,,,,Tevragh Zeina,Nouakchott,*714 من بوش 9 مساحتو  534 م² مبيوع ب 31 مليون و نص*,voursa.com,2025-08-19,Taille rue: N/A | Proche de: طب القلب
نص نيمرو فسكتير4 تفرغ زينة نظيف,Terrain,Vente,2600000,250.0,,,,Tevragh Zeina,Nouakchott,"شارع كبير وماه بعيد من كدروه 
ملاحظة للراغبين في شراء او بيع دار أو نيمرو ماعليكم سوى التواصل معنا والله المستعان ",voursa.com,2025-10-15,Taille rue: N/A | Proche de: كدروه سنوار
فرررررصة للمستثمرين مكزينات اعل كدروه انواذيبوا,Local commercial/industriel,Vente,45000000,1000.0,,,,Tevragh Zeina,Nouakchott,"فرصة مكزينات للبيع اعل كدروه انواذيبوا  باشي من تراب لوراء دخل حاليان مليون فيهم شي ماهو مكري
لمساحة 1000
السعر 450 مليون
حد مهتم 22576577
",voursa.com,2025-11-05,Taille rue: N/A | Proche de: صادين اعل بيك.ماركت 
نيمرو من سكتير 6 صاد اعل جيهة البحر ,Terrain,Vente,6000000,750.0,,,,Tevragh Zeina,Nouakchott,نيمرو من سكتير 6 مساحة 750م٢ ينقسم إعلى الزيره مبيوع ب 60 ,voursa.com,2025-12-03,Taille rue: N/A | Proche de: أتاك الخير 2
نيمرو فسكتير 5,Terrain,Vente,7000000,600.0,,,,Tevragh Zeina,Nouakchott,*من سكتير 5 ب 70 مليون*,voursa.com,2025-09-21,Taille rue: N/A | Proche de: سكتير 5 
نيمرو فكرن من تراب الأساتذة تفرغ زينة نظيف ,Terrain,Vente,5400000,700.0,,,,Tevragh Zeina,Nouakchott,"ممتاز تبارك الله فكرن شارع كبير وماه بعيد من البناء
ملاحظة للراغبين في شراء او بيع نيمرو او دار ماعليكم سوى التواصل معنا والله المستعان ",voursa.com,2025-05-29,Taille rue: N/A | Proche de: المعهد الجامعي تراب الأساتذة 
دار فملح سكتير 2,Appartement/Maison,Vente,850000,150.0,3.0,1.0,,Toujounine,Nouakchott,دار فملح سكتير 2 ,voursa.com,2026-02-08,Titre foncier | type de propriété: Appartement | 1 balcon(s) | Taille rue: 20.00 | Proche de: سكتير 2 | Garage
200م# فاتح اعلي شارع 20 من سكتير 1 كتاب الضبط ,Terrain,Vente,1300000,200.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 200م# فاتح اعلي شارع عشرين من سكتير 1 كناب الضبط مبيوع ب 13مليون سعرها للاخير للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-05-31,Taille rue: N/A | Proche de: سكتير 1 كتاب الضبط 
نيمرو من سكتير 5 للبيع ,Terrain,Vente,6000000,875.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو مساحة 875م# من سكتير 5 مبيوع ب 60مليون للإستفسار اكثر اتصلوا على الرقم التالى 49546950,voursa.com,2025-06-01,Taille rue: N/A | Proche de: سكتير 5
عندن فرصة ذايك دار للبيـــــــــــــــــــــع اف ملح سكتير 1,Local commercial/industriel,Vente,2400000,180.0,,,,Arafat,Nouakchott,"سلام عليكم 
عندنا فرصة ذيك دار للبيع اف ملح سكتير 1 
فاتح اعل كدروه 
فيه من تحت بوتكين أو دار 
والفوك فيه دار 
امدخلة الشهر 210 الف
المساحه 180م٢
السعر 24 مليون قابلة للنقاش حد مهتم يتواصل معاي 27273277",voursa.com,2025-12-16,Taille rue: N/A | Proche de: دار للبيـــــــــــــــــــــع اف ملح سكتير 1
نص فكرن من بلوكات سكتير 1 ,Terrain,Vente,1800000,300.0,,,,Tevragh Zeina,Nouakchott,نص نيمرو أفكرن من سكتير 1 بلوكات مبيوع ب 18 مليون فرصة ,voursa.com,2025-05-19,Taille rue: N/A | Proche de: بلوكات سكتير 1
ابرتماهين وبتيكين فاتحين اعلي 3 شوارع ببن كدروه لبرار والفلوجه للبيع ,Local commercial,Vente,2500000,180.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ ابرتماهين وبتيكين اعلي 3 شوارع بين كدروه لبرار والفلوحة مساحتهم 180م# مدخلين ماتين الف مبيوعين ب 25مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-07-12,Taille rue: N/A | Proche de: بين الفلوجة. وكرفور لبرار 
300م# فكرن من مدال m لاول للبيع ,Terrain,Vente,2500000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 300م# فكرن من مدال m لاول مبيوع ب 25مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-07-28,Taille rue: N/A | Proche de: مدال m لاول
نيمرو من سكتير 5,Terrain,Vente,4500000,600.0,,,,Tevragh Zeina,Nouakchott,"*من سكتير 5 مبيوع ب 45 مليون*
الواتساب : 33887733",voursa.com,2025-04-30,Taille rue: N/A | Proche de: سكتير 5
نيمرو أفكرن من شرم الشيخ قريب من كدروه ,Terrain,Vente,4500000,400.0,,,,Tevragh Zeina,Nouakchott,نيمرو أفكرن من شرم الشيخ قريب من كدروه مساحة 400م٢ ,voursa.com,2025-07-02,Taille rue: 0.00 | Proche de: كدروه البوادي 
فيلا فخمة بمساحة 600m2 وجميع المواصفات,Appartement/Maison,Vente,18500000,600.0,6.0,2.0,,Tevragh Zeina,Nouakchott,"السلام عليكم ورحمة الله 
فيلا فخمة فتبارك الله تتربع على مساحة 600m2 وتطل على شارع 30م . 
بجميع وسائل الراحة والفخامة 

فيها كراج يسع 6 سيارات 
ومطبخ خارجي وبيوت عمال 
وجلسة مغربية فخمة مغطاة بالخشب الاصلي الاوروبي 
الطابق الارضي : 
صالوه كبير وجلسة . مطبخ اوروبي وصالة تطل على المسبح وبيت مع حمام بالاضافة الى الحمام العمومي 
الطابق العلوي : 
بيت النوم الرئيسي . جلسة وبيتيت نوم 
الفيلا مجهزة باحدث الجهيزات 
ويميزها أكثر سعرها المغري 
المهتم يتواصل معان ",voursa.com,2026-01-30,type de propriété: Villa | 2 balcon(s) | Taille rue: 30.00 | Proche de: ديار تاتا  | Caméra de sécurité | Garage
بوحديدة ,Appartement/Maison,Vente,680000,150.0,3.0,1.0,,Toujounine,Nouakchott,"ذاك نص نمرو للبيــــــــــــــــــــــع فيه اباتيك  و سكن قرب فور ساحل  (كدروه طب الشيخ زايد )
المساحة  :  150 م²
الدخل شهري  55 الف
السعر  :  6 ملايين و 800 الف",voursa.com,2025-03-30,Titre foncier | 1 balcon(s) | Taille rue: 30.00 | Proche de: طب الشيخ زايد 
ابرتماهات فكرفور قاريين فمصحة النجاح,Local commercial/industriel,Vente,8000000,150.0,,,,Arafat,Nouakchott,ابرتماهات فكرفور اعل كدروه ال طاري  لاصكين فمصحة النجاح مدخلين 1 مليون و 600 ,voursa.com,2025-12-28,Taille rue: N/A | Proche de: مصحة النجاح 
سمعه ف مدال L فكرن للبيع ,Appartement/Maison,Vente,12500000,600.0,7.0,4.0,,Tevragh Zeina,Nouakchott,السلام عليكم هذ سمعه ف مدال L فكرن مساحتها 600م# مبيوع ب مائة وخمس وعشرين مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-05-11,1 balcon(s) | Taille rue: 20.00 | Proche de: مدال L
نيمرو فشرم الشيخ ممتاز ماه بعيد من كدروه بوادي ,Terrain,Vente,2900000,300.0,,,,Teyarett,Nouakchott,"الموقع نظيف تبارك الله وشارع كبير فرصة 
 ",voursa.com,2025-05-29,Taille rue: N/A | Proche de: سكتير4
البر تماهاة 4للبيع في تفرغ زينه قرب قصر المؤ تماراة,Appartement/Maison,Vente,6800000,400.0,5.0,5.0,,Tevragh Zeina,Nouakchott,هاذو البر تماهاةزينين حته وفيهم فرصة اليوم,voursa.com,2026-01-17,type de propriété: Appartement | 3 balcon(s) | Taille rue: 20.00 | Proche de: البات | Caméra de sécurité | Meublé | Garage
نيمرو للبيع فسكتير 3 بلوكات,Terrain,Vente,4200000,600.0,,,,Tevragh Zeina,Nouakchott,"نيمرو من سكتير 3 بلوكات في گرن وابيظ مبيوع ب 42 مليون ،
",voursa.com,2025-11-15,Taille rue: N/A | Proche de: بلوكات
نمرو للبيـــــــــع في اسكان 2,Terrain,Vente,1250000,300.0,,,,Dar Naim,Nouakchott,"نمرو للبيـــــع في دار نعيم قرب شركة الوطنية للالبان  من الإسكان 2
المساحة: 216 م²فاتح اعل كدروه  عزيز 
السعر: 12,5 مليون 
واتساب 22608090 فقط للجدين ",voursa.com,2025-07-31,Taille rue: N/A | Proche de: كدروه عزيز
دار اللبيع ف الفوز,Appartement/Maison,Vente,4000000,200.0,3.0,2.0,,Teyarett,Nouakchott,عندن دار اللبيع ف الفوز مبيوع ب 40 حد مهتم يتواصل معاي حد مهتم يتواصل معاي واتساب 27273277  ,voursa.com,2025-07-02,1 balcon(s) | Taille rue: 15.00 | Proche de: الفوز
200 من سكتير 4,Terrain,Vente,2300000,200.0,,,,Tevragh Zeina,Nouakchott,*مبيوعة منو 200 م² سكتير 4 ب 23*,voursa.com,2025-07-08,Taille rue: N/A | Proche de: سكتير 5
نيمرو من سكتير 3 بلوكات,Terrain,Vente,3000000,600.0,,,,Tevragh Zeina,Nouakchott,هذا ب 30 مليون فقط,voursa.com,2025-10-13,Taille rue: N/A | Proche de: بلوكات
دار للبيع في لكصر قرب مجمع الأمان شارع اكبير,Appartement/Maison,Vente,2500000,216.0,5.0,3.0,,Teyarett,Nouakchott,هاذي دار زينه حته وفيه فرصة اليوم شارع اكبير,voursa.com,2026-02-05,Titre foncier | type de propriété: Villa | 3 balcon(s) | Taille rue: 18.00 | Proche de: البياه | Caméra de sécurité | Meublé | Garage
أرض للبيع ,Appartement/Maison,Vente,4300000,600.0,0.0,0.0,,Tevragh Zeina,Nouakchott,"عندنا نيمرو للبيع فرصة 
فالفوز البوادي 
المساحة: 600 م مربع 
وجايت T 
شارع 40 م و اكريب من كيدروه 

مبيوع ب 43 مليون ",voursa.com,2026-01-13,type de propriété: Autre | Taille rue: 40.00 | Proche de: مشروع محمد لمين  | Garage
ابرتمهات ومكزينه ف iloca,Appartement/Maison,Vente,6500000,300.0,6.0,1.0,,Tevragh Zeina,Nouakchott,"سعر 65 مليون دخلهم شهري 440الف 
حد شاري ول عندو طلب تلفنل اعل واتساب فقط 26678975",voursa.com,2026-01-27,Titre foncier | type de propriété: Appartement | 1 balcon(s) | Taille rue: 25.00 | Proche de: Iloca
نصف نيمرو إعلى كدروه وفكرن من سكتير 3 افنور ,Terrain,Vente,5500000,450.0,,,,Tevragh Zeina,Nouakchott,نصف نيمرو إعلى كدروه وفكرن من سكتير 3 افنور مساحة 450م٢ محوط ,voursa.com,2025-06-07,Taille rue: N/A | Proche de: كدروه الصكوك 
للبيع نيمرو فصحراوي مساحتو 400م,Terrain,Vente,6800000,400.0,,,,Tevragh Zeina,Nouakchott,للبيع نيمرو فصحراوي مساحتو 400م فبل منين زيان صانتر فيل مبيوع ب 68مليون شارع كبير تواصل معنا ليصلك كل جديد ,voursa.com,2025-08-24,Taille rue: N/A | Proche de: دار مسقارو 
نمرو اللبيع أفي المطار القديم بلوك 24,Terrain,Vente,1750000,180.0,,,,Dar Naim,Nouakchott,نمروللبيـــــــــــــــــــــع أفي المطار القديم بلوك 24مساحته 180مبيوعه ب17مليون 500الف حد مهتم يتواصل معاي27273277,voursa.com,2026-01-15,Taille rue: N/A | Proche de: نمروللبيـــــــــــــــــــــع أفي المطار القديم بلوك 24
دبلكس شانتية في بلوكات سكتير 1 ,Terrain,Vente,3200000,150.0,,,,Tevragh Zeina,Nouakchott,دبلكس شانتية من بلوكات سكتير 1 مساحة 150م ب 32 مليون,voursa.com,2025-09-28,Taille rue: N/A | Proche de: طب القلب 
نيمرو من سكتير 5,Terrain,Vente,6000000,600.0,,,,Tevragh Zeina,Nouakchott,ب 60 من سكتير 5 ينكسم,voursa.com,2025-07-09,Taille rue: N/A | Proche de: سكتير 5
نص نيمر ف سكتير 6 فكرن شارع 30 موقع ممتاز,Terrain,Vente,350000,300.0,,,,Tevragh Zeina,Nouakchott,فرصة نص نيمر للبيع ف سكتير 6 فكرن موقع جيد,voursa.com,2025-12-30,Titre foncier | Taille rue: 30.00 | Proche de: سكتير 6
نيمرو من سكجيم m افاس 4 للبيع ,Terrain,Vente,2100000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو من سككجيم افاس 4 مساحة 300م# صاد اعلي جيهت لرياح مبيوع ب 21مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-07-16,Taille rue: N/A | Proche de: سكجيم 
ديبلكس,Appartement/Maison,Vente,5500000,250.0,4.0,3.0,,Tevragh Zeina,Nouakchott,"#للبيع 
فرصة 
ديبلكس. جديدة في منطقةً سيتي بلاج 🏝 
ديبلكس تتكون من الطابق لأرضي ]] من صالون. جلسة غرفة 🛌 نوم بحمامها. مطبخ أوربي. حمام عمومي. + غرفة عامل مرآب كراجات 2. فناء. خارجي. 

تتكون من الطابق العلوي. ].من  غرفة نوم 🛌 بحمامها. صالون + 2غرفة متوسطة جلسة   بلكونة 2 
المساحة :250 م 

لمشاهد المنزل تواصلو معنا على الواتساب

#السعر 55مليون أوقية قديمة قابلة للنقاش

#للتواصل : ‏ عبر واتساب. https://wa.me/22243414552",voursa.com,2025-04-19,2 balcon(s) | Taille rue: 20.00 | Proche de: سيتا بلاج
نيمرو فيه مگزينات.  ,Local commercial/industriel,Vente,24000000,500.0,,,,Tevragh Zeina,Nouakchott,نيمرو فيه مگزينات. فاتح اعل كدروه دص. بالقرب من أستاصيوه ستار 📍 ,voursa.com,2025-12-11,Taille rue: N/A | Proche de: أستاصيوه ستار 
نمر 346 للبيـــــع في الحي العسكري التيسير ,Terrain,Vente,500000,180.0,,,,Teyarett,Nouakchott,"346 من الحي العسكري التيسير 
المساحة  180 م²
السعر  5 مليون 
واتساب 22608090 فقط للجدين ",voursa.com,2026-01-08,Taille rue: 20.00 | Proche de: طريق اكجوجت 
عندن ذاك دار للبيـــــــــــــــــــــع في H3,Appartement/Maison,Vente,3700000,216.0,3.0,2.0,,Teyarett,Nouakchott,دار للبيـــــــــــــــــــــع H3 مساحته 216 فاتح على شارع 15مبيوعه ب37 مليون حد مهتم يتواصل معاي واتساب 27273277,voursa.com,2025-08-29,1 balcon(s) | Taille rue: 15.00 | Proche de: دار للبيـــــــــــــــــــــع في H3
سكتير 5,Terrain,Vente,3600000,300.0,,,,Tevragh Zeina,Nouakchott,"نص نيمرو من سكتير 5 
رقم 379
السعر : 36
للتواصل:41366086",voursa.com,2025-04-20,Taille rue: N/A | Proche de: سكتير 5
نيمرو من سكتير 5 ,Terrain,Vente,2000000,375.0,,,,Tevragh Zeina,Nouakchott,نيمرو من سكتير 5 عند اظهر مطعم fun house كريب من كد كدروه و حذاه البنيان و المدارس,voursa.com,2025-04-02,Taille rue: N/A | Proche de:  مطعم fun house et trend 
ديبلكس طراز راقي فشرم الشيخ صحراوي ,Appartement/Maison,Vente,10000000,300.0,6.0,2.0,,Tevragh Zeina,Nouakchott,ديبلكس للبيــع فشرم الشيخ مساحتها 300م٢ فالكرن بينها نيمرو واحد مع كدروه البوادي كايل 100 مليون,voursa.com,2025-12-15,Titre foncier | type de propriété: Duplex | 2 balcon(s) | Taille rue: 20.00 | Proche de: البوادي  | Garage
نيمرو من اغنودرت رقم 1184 للبيع ,Terrain,Vente,8000000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو من اغنودرت مساحة 300م# رقم 1184 مبيوع ب 8ملاين للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-05-30,Taille rue: N/A | Proche de: اغنودرت 
Terrain à vendre ,Terrain,Vente,1150000,180.0,,,,Dar Naim,Nouakchott,"Terrain à vendre ancien aéroport papier complet avec titre foncier à langle nº172 bloc 45 pour plus d'informations veuillez contacter le :
48510000",voursa.com,2025-12-08,Taille rue: N/A | Proche de: Ancien aéroport  | titre foncier
شقق لأجار للمكاتب فوق موري سانتر 2 سانتر متير ,Bureau,Location,12000,130.0,,,,Tevragh Zeina,Nouakchott,شقق لأجار للمكاتب فوق موري سانتر 2 ف سانتر متير ب ,voursa.com,2025-11-17,type de location: Location au mois | Taille rue: N/A | Proche de: موري سانتر 2
فرصة شانتيه فطريق انواذيبو موديل F عند أظهر مطعم حضرموت مساحتها 700م٢ فاتحة فبرك ,Terrain,Vente,4800000,700.0,,,,Tevragh Zeina,Nouakchott,فرصة شانتيه لاحكه صناج فينال فطريق انواذيبو موديل F عند أظهر مطعم حضرموت مساحتها 700م٢ فاتحة فبرك مبيوعه ب 48 مليون,voursa.com,2025-06-17,Taille rue: 0.00 | Proche de: حضرموت 
ملعب كرة قدم,Local commercial/industriel,Location,500,700.0,,,,Ksar,Nouakchott,"ملعب كرة قدم  في ساحة المطار القديم
أرضية ممتاز موقع مريح جدا للعب كرة القدم 
عشب ممتاز جدا ... 
حد يبقى ساعة والل ابنماه شهر يتفضل بأسعار ممتازة...   واتساب 46418649/36414050",voursa.com,2025-10-03,type de location: Location à lheure | Taille rue: N/A | Proche de: مدينة المرح
150م² من سكتير2 النواب الجدد موقعها زين تبارك الله ,Terrain,Vente,1100000,150.0,,,,Tevragh Zeina,Nouakchott,"شارعها كبير وماه بعيد من كدروه 
ملاحظة للراغبين في شراء او بيع نيمرو او دار ماعليكم سوى التواصل معنا والله المستعان ",voursa.com,2025-07-11,Taille rue: N/A | Proche de: الجامعة الجديدة 
نيمرو فالمطار القديم ,Terrain,Vente,2300000,400.0,,,,Tevragh Zeina,Nouakchott,نيمرو فالمطار القديم ابلوك 5 أفكرن مساحة 400م٢ بينو نيمرو واحد مع كدروه مبيوع ب 23,voursa.com,2025-04-16,Taille rue: N/A | Proche de: المطار القديم 
دار ف سانتر متي للبيع,Appartement/Maison,Vente,5200000,600.0,6.0,3.0,,Sebkha,Nouakchott,دار ف سانتر متير فاتحه ف برك عل كدروه مساحته 600 أوراقه تامين و مبيوعة ب [ 52 ] مليون للتواصل 20041515,voursa.com,2025-06-19,Titre foncier | 2 balcon(s) | Taille rue: 15.00 | Proche de: سانتر أمتير  | Caméra de sécurité | Garage
نيمرو فكرن من سكتير 2 ابلوكات للبيع ,Bureau,Vente,5000000,600.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو فكرن من سكتير 2 ابلوكات مساحة 600م# ما كط انباع مبيوع ب 50مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-11-19,Taille rue: N/A | Proche de: سكتير 2 ابلوكات
للبيع نيمرو من تراب الأساتذه مساحتو 600م,Terrain,Vente,3000000,600.0,,,,Tevragh Zeina,Nouakchott,للبيع نيمرو من تراب الأساتذ مساحتو 600م مبيوع ب 30مليون تواقطو زينين حد كامل عندو طلب عل عقار فأي مكان ولا عندو يمباع ولا ئأجر يتواصل معان دور يجبر قايتو بإذن الله تعالى 36707610,voursa.com,2025-07-16,Taille rue: N/A | Proche de: الجامعه 
نيمرو للبيع فا سكتير 4,Terrain,Vente,4600000,500.0,,,,Tevragh Zeina,Nouakchott,"نيمرو للبيع من سكتير 4 بين لبنيان 
المساحة 400م
السعر 46 مليون
حد مهتم وللا عندو اي عقار للبيع 22576577",voursa.com,2025-09-24,Taille rue: N/A | Proche de: سكتير 4
الفوز اتراب الصحراوي,Terrain,Vente,2000000,200.0,,,,Teyarett,Nouakchott,نصف نيمرو مساحة 200 متر مربع بينها نيمرو واحد مع كدروه اوراق زينه تيتر فونسي السعر الاخير 20 مليون قديمة ,voursa.com,2025-04-27,Taille rue: N/A | Proche de: استراحة البوادي القديمة قريبة من محل مشوي محمد الامين
ابرتماهين فبوحديدة,Appartement/Maison,Vente,1300000,150.0,4.0,2.0,,Toujounine,Nouakchott,ابرتماهين فبوحديدة شارع الفضل الربينه الثالثه لاه تمش انك واعد آدرار لاه اتج اعل ايدك العسرية رامبلة هوم فم امدخلين 90الف ,voursa.com,2025-12-25,Titre foncier | type de propriété: Studio | 2 balcon(s) | Taille rue: 10.00 | Proche de: الربينه الثالثه  | Garage
نصف نيمرو من سكتير 4 بينو نيمرو واحد مع كدروه ,Terrain,Vente,3500000,300.0,,,,Tevragh Zeina,Nouakchott,نصف نيمرو من سكتير 4 بينو نيمرو واحد مع كدروه المساحة 300م٢ الثمن 35 مليون ,voursa.com,2025-09-23,Taille rue: N/A | Proche de: كدروه السنوار 
300م# من سكتير 5 فاتح اعلي المدرسة الصفره للبيع ,Terrain,Vente,3100000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 300م# ف سكتير 5 فاتح اعلي المدرسة الصفره مبيوع ب 31مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-06-17,Taille rue: N/A | Proche de: سكتير 5
سمعة للبيع بالقرب من كوليج سوق مكه ,Local commercial/industriel,Vente,1600000,150.0,,,,Arafat,Nouakchott,السمعة مساحتها 150م فاتحة على T مؤجرة حالاً ب 140 ألف سعرها الأخير 16 مليون ,voursa.com,2026-02-26,Taille rue: N/A | Proche de: سوق مكه
دار للبيع على كدروه ,Appartement/Maison,Vente,45000000,150.0,3.0,1.0,,Nouadhibou,Nouakchott,"السلام عليكم 
الموقع استراتيجي واستثماري 
دار للبيـــــــــــــــــــــع نواذيبو بين سكوجيم 
فاتح على كدروه 
فيه اربع بيوت جلسة كوزين ودوشات اكراج ابوتيك 
المساحة150م٢ 
السعر 45 مليون ",voursa.com,2026-01-31,Titre foncier | type de propriété: Autre | 1 balcon(s) | Taille rue: 40.00 | Proche de: سكوجيم  | Garage
